featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,1,9 April 2019,21:51:04,great company to work for,,,"9 April 2019
""great company to work for""
5.0
★★★★★
Current Employee ",full-time,,0,management is great and very interactive with their employees. everyone looks out for each other and helps one another when they need it,Tedious work. can be repetitive at times,,5.0,5.0,4.0,,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,27 March 2019,16:27:16, Breaking down and scanning completed mortgage loans, Office Assistant,,"27 March 2019
"" Breaking down and scanning completed mortgage loans""
5.0
★★★★★
Former Employee ",part-time,,0,"Welcoming, professional, hard workers, knowledgeable, friendly, smart","Big
Only in one city
Intense
Stressful
Undefined hours",,5.0,,,,,,,,,,,,
0,0,0,23 April 2019,01:37:02,Run from this company, Branch Manager,"Los Angeles, CA","23 April 2019
""Run from this company""
1.0
★★★★★
Former Employee ",full-time, less than a year,0,There were a few decent folks.,"Worst company I ever worked for. Within a month of leaving, management handed my closed loan client base to someone and told them to solicit my clients. Mind you, these were self sourced clients and mgmt told me prior to starting there that they would never solicit my clients. They also have a horrendous underwriting dept. Closing a loan here was worth than walking through a swamp filled with alligators.",Don’t Lie to your employees. Practice what you preach.,1.0,1.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,1,13 February 2019,17:25:41,Great company,,"Greenwood Village, CO","13 February 2019
""Great company""
5.0
★★★★★
Former Employee ",full-time,,0,"Managers did not micro manage and was a very relaxed, yet productive environment",Company does lay offs several times a year. Not a very secure job.,,5.0,5.0,5.0,,4.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,0,15 January 2019,15:04:21,Like a Family, Loan Officer,"Cherry Hills Village, CO","15 January 2019
""Like a Family""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,Everyone really cares about you and wants you to succeed. They have great technology and corporate is designed to make life easier for LO's.,"Do not think it is a great time to be in the industry, with rising rates and high home prices many people are priced out and there is practically no Refi business to be found.",Maybe figure out a way to drive some leads to LO's.,5.0,5.0,5.0,,5.0,3.0,5.0,Recommends,Negative Outlook,Approves of CEO,,,
0,0,1,22 March 2018,08:29:07,Non-exempt position,,"Denver, CO",,full-time, more than 3 years,0,"Pay was acceptable, majority of leads/mgrs very good about anyone needing personal time/making up time.","Male employees paid more for same positions than female employees. Nepotism present, standing up to alleged mistreatment frowned upon .","End the denial of potential corruption and nepotism, it will most likely ultimately harm your company's success.",2.0,2.0,1.0,,2.0,3.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,1,26 January 2018,12:27:57,"Good Place to Work, Needs Better Retirement Plans",,,"26 January 2018
Helpful (1)
""Good Place to Work, Needs Better Retirement Plans""
4.0
★★★★★
Former Employee ",part-time,,1,"No real micromanaging, not a high stress place to work.",Cherry Creek needs better retirement options.,,4.0,,,,,,,,,,,,
0,0,0,12 February 2018,20:39:47,Does not pay equally for same work, Loan Officer,,"12 February 2018
""Does not pay equally for same work""
1.0
★★★★★
Former Employee ",full-time, more than a year,0,The office space is nice.,"Not all loan officers are paid equally. Different commission structure for different people, not based on experience, but based on who recruited you. New LOs with small production are paid a higher percentage than seasoned LOs who were hired on their own without a recruiter. 

Manager pays commissions late. I was paid 30 days past my contract date, more than once. (60 days past loan closing) You have to hound them to get paid.",Treat all LOs equally. Pay commissions on time.,1.0,,1.0,,1.0,1.0,,Doesn't Recommend,Negative Outlook,,,,
0,0,1,10 December 2017,14:49:45,Employer Review,,,"10 December 2017
""Employer Review""
5.0
★★★★★
Former Employee ",full-time,,0,Excellent management team. Great company. All about honesty and integrity. Take wonderful care of their employees. No one ever wants to leave. Ageism isn't an issue either. Huge plus!!,Don't have a matching 401k program.,Keep up the good work!,5.0,5.0,5.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,26 July 2017,10:03:13,Sr Loan CLoser,,"Gilbert, AZ","26 July 2017
Helpful (2)
""Sr Loan CLoser""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,2,Management is very helpful when in need.,There is not that much career growth.,,4.0,4.0,4.0,,3.0,4.0,5.0,Doesn't Recommend,Positive Outlook,Approves of CEO,,,
0,0,1,20 August 2017,20:06:18,Terrible management! Great pay!,,,"20 August 2017
Helpful (1)
""Terrible management! Great pay!""
1.0
★★★★★
Former Employee ",full-time,,1,If you're looking for a good pay day and literally have no other cares in the world... this is the place for you!,"No 401k Match. The management team is full of children. The technology is terrible and they refuse to acknowledge it, you just have to pretend everything is great. They recently got sued for failing to provide health insurance to a same sex couple. You should expect to stay in the same position you're hired in... forever. If you indicate to management you want to grow your career they'll pat your back and send you back to your desk. This place is run terribly because the executive management team is a joke and the President is clueless so it's not likely to change anytime soon.",Get rid of most of your executive management team! They have no idea what they are doing anyways...,1.0,1.0,1.0,,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,1,17 May 2017,18:10:33,Strong Colorado Company - but needs to be a little more consistent,,,,full-time, more than a year,0,"Local company, good benefits, many branch locations, upper management is friendly. CEO and VPs are visible and engage with their staff and engaged in the business.",There's some disconnect between various departments. The management doesn't always enforce policies they've set up consistently.,Enforce rules and policies consistently or not at all.,4.0,5.0,5.0,,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,30 March 2017,16:18:27,Opportunity,,"Diamond Bar, CA","30 March 2017
""Opportunity""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,Cherry Creek has an employee minded culture. They have honesty and integrity as their top stated Core Value and it shows.,Sometimes it is hard to manage from another State,,4.0,4.0,5.0,,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,14 November 2016,02:16:31,Excellent company, Loan Processing Assistant,"Saint Charles, IL","14 November 2016
Helpful (1)
""Excellent company""
5.0
★★★★★
Former Employee ",full-time, more than a year,1,"Great culture - different, better than the rest in the industry- more positive. They actually want to help their clients.",This is a fast paced environment.,,5.0,3.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,5 December 2016,07:14:38,"Great company, if you enjoy being laid off in December!", Help Desk Technician,"Greenwood Village, CO","5 December 2016
Helpful (1)
""Great company, if you enjoy being laid off in December!""
1.0
★★★★★
Former Employee ",full-time, less than a year,1,"Majority of employees were friendly. No 401k matching and expensive benefits, but there were free soda fountains in the break room!",Was laid off on December 1st with no warning after only being with the company a few months. Typical mortgage company.,"A little notice would have been nice. Providing for my 3 kids is going to be tough, especially around the holidays. Two weeks severance isn't going to be much help when companies aren't going to want to start hiring anyone until January.",1.0,1.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
