featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,11 January 2021,05:13:48,Alright, Receptionist,,"11 January 2021
""Alright""
3.0
★★★★★
Former Employee ",full-time,,0,Ppl are nice in general,Low salary as for a chinese bank,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,Doesn't Recommend,,Disapproves of CEO,,,
0,0,0,10 January 2021,04:35:46,about the job, Customer Service Officer,,"10 January 2021
""about the job""
3.0
★★★★★
Former Employee ",full-time,,0,salary little higher than others,less promotion opportunity and high workload,,3.0,,,,,,,,,,,,
0,0,0,24 December 2020,10:41:32,Over-time working, Operation Officer,Hong Kong,,full-time,,0,"Most colleagues are nice and friendly, they listen, respect and support others.","Heavy workload, frequently over-time working, even need to work on public holiday.",,3.0,1.0,4.0,3.0,3.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,23 December 2020,07:59:15,BOC Review, Assistant Personal Banking Manager,,"23 December 2020
""BOC Review""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,Nice people and large customer base,A bit low pay and remuneration,,3.0,,,,,,,,,,,,
0,0,0,23 December 2020,02:17:43,Digital banking, Digital Banking Manager,Hong Kong,"23 December 2020
""Digital banking""
2.0
★★★★★
Current Employee ",full-time,,0,Well paid for the position,Slow pace and poor learning culture,,2.0,,,,,,,,,,,,
0,0,0,13 December 2020,20:56:51,Very traditional, Analyst,Hong Kong,"13 December 2020
""Very traditional""
2.0
★★★★★
Former Employee ",part-time, more than a year,0,Colleagues are generally friendly but with low morale,Use lots of Chinese in daily work,none,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,0,9 December 2020,19:32:20,MT, Management Trainee,,"9 December 2020
""MT""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,Got Rotations to various departments and teams,the programme can be more structured; not much practical experience of doing business is acquired and the exposure is broad but shallow,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Recommends,Neutral Outlook,,,,
0,0,0,23 November 2020,00:54:49,Good, Manager,Hong Kong,"23 November 2020
""Good""
4.0
★★★★★
Current Employee ",full-time,,0,Nice working place and people,Lower flexibility and lower diversity,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,,,,
0,0,0,22 November 2020,05:38:34,Greak, Intern,Tin Shui Wai,"22 November 2020
""Greak""
4.0
★★★★★
Current Employee ",part-time, less than a year,0,"SO great , you know . It is a good choice","No, Actually, it is a perfect company.",,4.0,3.0,5.0,2.0,3.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,1,2 December 2020,20:10:07,Manager,,,"2 December 2020
""Manager""
3.0
★★★★★
Current Employee ",full-time,,0,relatively stable in terms of job security,"Chinese culture, refusing changes, bad IT support",,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,
0,0,0,14 November 2020,17:49:32,Hard to jump to other foreign banks once you've entered into Chinese firms, Relationship Manager,Hong Kong,"14 November 2020
Helpful (1)
""Hard to jump to other foreign banks once you've entered into Chinese firms""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,1,"Stable job, average welfare package","Slow salary increment, hierarchial company structure",,4.0,4.0,3.0,2.0,4.0,3.0,2.0,Doesn't Recommend,Positive Outlook,No Opinion of CEO,,,
0,0,1,29 November 2020,08:14:54,High job security,,,"29 November 2020
""High job security""
3.0
★★★★★
Former Employee ",full-time, less than a year,0,"As caption, very high job security and fast delivery from IT. Good place for retirement","Old school, traditional. Working hour can be big contrast among teams, some are busy all days even work over weekends and some no tasks all.",,3.0,3.0,2.0,2.0,3.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,4 November 2020,22:53:59,Overall good, Operation Officer,Hong Kong,"4 November 2020
""Overall good""
4.0
★★★★★
Current Employee ",full-time,,0,"stable career path, Good bonus, OT pay","Long Working hrs, chinese culture",,4.0,3.0,3.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
